id,title,price,promo_price,url,region
3405637,Конструктор LEGO Minecraft,2699RUB,1699RUB,https://www.detmir.ru/product/index/id/3405637/,Moscow
3226631,Конструктор LEGO Technic Мобильный кран,9499RUB,5779RUB,https://www.detmir.ru/product/index/id/3226631/,Moscow
3226556,Конструктор LEGO DUPLO Classic Коробка с кубиками,2599RUB,1639RUB,https://www.detmir.ru/product/index/id/3226556/,Moscow
3596780,Конструктор LEGO Friends Домик в лесу,2599RUB,1649RUB,https://www.detmir.ru/product/index/id/3596780/,Moscow
3405551,Конструктор LEGO Friends Торговый центр Хартлейк Сити,9499RUB,5999RUB,https://www.detmir.ru/product/index/id/3405551/,Moscow
3226605,Конструктор LEGO Friends Автобус для друзей,6499RUB,4009RUB,https://www.detmir.ru/product/index/id/3226605/,Moscow
3244612,Конструктор LEGO Technic Самосвал Volvo 6*6,22999RUB,13999RUB,https://www.detmir.ru/product/index/id/3244612/,Moscow
3244472,Конструктор LEGO DUPLO Грузовик и гусеничный экскаватор,1759RUB,969RUB,https://www.detmir.ru/product/index/id/3244472/,Moscow
3596768,Конструктор LEGO Minecraft Мерзость из джунглей,3699RUB,2249RUB,https://www.detmir.ru/product/index/id/3596768/,Moscow
3405579,Конструктор LEGO My City Центр города,8999RUB,5489RUB,https://www.detmir.ru/product/index/id/3405579/,Moscow
3386282,Конструктор LEGO Minecraft Торговый пост,1799RUB,,https://www.detmir.ru/product/index/id/3386282/,Moscow
3226650,Конструктор LEGO City Police Погоня на полицейском вертолете,2499RUB,1499RUB,https://www.detmir.ru/product/index/id/3226650/,Moscow
603571,Конструктор LEGO Creator Грузовой вертолет,799RUB,549RUB,https://www.detmir.ru/product/index/id/603571/,Moscow
603581,Конструктор LEGO Creator Домик на пляже,1999RUB,1379RUB,https://www.detmir.ru/product/index/id/603581/,Moscow
603591,Конструктор LEGO Creator Животные джунглей,999RUB,689RUB,https://www.detmir.ru/product/index/id/603591/,Moscow
603601,Конструктор LEGO Creator Красный гоночный карт,699RUB,479RUB,https://www.detmir.ru/product/index/id/603601/,Moscow
603621,Конструктор LEGO Creator Магазин по продаже игрушек и продуктов,2699RUB,1869RUB,https://www.detmir.ru/product/index/id/603621/,Moscow
603641,Конструктор LEGO Creator Синий гоночный автомобиль,499RUB,339RUB,https://www.detmir.ru/product/index/id/603641/,Moscow
603691,Конструктор LEGO Mixels Мелтус,299RUB,209RUB,https://www.detmir.ru/product/index/id/603691/,Moscow
603701,Конструктор LEGO Mixels Никспут,299RUB,249RUB,https://www.detmir.ru/product/index/id/603701/,Moscow
603711,Конструктор LEGO Mixels Нурп-Нот,299RUB,249RUB,https://www.detmir.ru/product/index/id/603711/,Moscow
603721,Конструктор LEGO Mixels Рокит,299RUB,209RUB,https://www.detmir.ru/product/index/id/603721/,Moscow
603731,Конструктор LEGO Mixels Фламзер,299RUB,209RUB,https://www.detmir.ru/product/index/id/603731/,Moscow
603761,Конструктор LEGO Friends Воздушный шар,2499RUB,1249RUB,https://www.detmir.ru/product/index/id/603761/,Moscow
603791,Конструктор LEGO Friends Зайчата,399RUB,339RUB,https://www.detmir.ru/product/index/id/603791/,Moscow
603821,Конструктор LEGO Friends Маяк,2999RUB,2069RUB,https://www.detmir.ru/product/index/id/603821/,Moscow
603831,Конструктор LEGO Friends Парикмахерская,2499RUB,1729RUB,https://www.detmir.ru/product/index/id/603831/,Moscow
603861,Конструктор LEGO Minifigures RU/50071008,199RUB,139RUB,https://www.detmir.ru/product/index/id/603861/,Moscow
603871,Конструктор LEGO Star Wars TM Боевой корабль Вуки (Wookiee™ Gunship),4699RUB,3249RUB,https://www.detmir.ru/product/index/id/603871/,Moscow
603881,Конструктор LEGO Star Wars TM Вездеходная Оборонительная Платформа AT-,3999RUB,2489RUB,https://www.detmir.ru/product/index/id/603881/,Moscow
603891,Конструктор LEGO Star Wars TM Скоростной спидер Эзры (Ezra’s Speeder B,1799RUB,1529RUB,https://www.detmir.ru/product/index/id/603891/,Moscow
603901,Конструктор LEGO Star Wars TM Улучшенный Прототип TIE Истребителя (TIE Advanced Prototype™),3999RUB,1999RUB,https://www.detmir.ru/product/index/id/603901/,Moscow
603911,Конструктор LEGO Technic Арктический вездеход,6499RUB,5519RUB,https://www.detmir.ru/product/index/id/603911/,Moscow
603931,Конструктор LEGO Technic Гоночный автомобиль,8999RUB,7649RUB,https://www.detmir.ru/product/index/id/603931/,Moscow
603951,Конструктор LEGO Technic Карьерный грузовик,2199RUB,1519RUB,https://www.detmir.ru/product/index/id/603951/,Moscow
603971,Конструктор LEGO Technic Рекордсмен,1499RUB,1039RUB,https://www.detmir.ru/product/index/id/603971/,Moscow
603981,Конструктор LEGO Technic Ремонтный автокран,799RUB,549RUB,https://www.detmir.ru/product/index/id/603981/,Moscow
603991,Конструктор LEGO Technic Спортбайк,2999RUB,2069RUB,https://www.detmir.ru/product/index/id/603991/,Moscow
618521,Конструктор LEGO Agents Воздушное сражение,4699RUB,3249RUB,https://www.detmir.ru/product/index/id/618521/,Moscow
618561,Конструктор LEGO Agents Внедрение Шпионов,649RUB,449RUB,https://www.detmir.ru/product/index/id/618561/,Moscow
618571,Конструктор LEGO Super Heroes Нападение на башню Мстителей,5999RUB,4149RUB,https://www.detmir.ru/product/index/id/618571/,Moscow
618581,Конструктор LEGO Super Heroes Погоня на Квинджете Мстителей,6999RUB,5949RUB,https://www.detmir.ru/product/index/id/618581/,Moscow
3546360,Конструктор LEGO Harry Potter Хогвартс-экспресс,7499RUB,5779RUB,https://www.detmir.ru/product/index/id/3546360/,Moscow
3150682,Конструктор LEGO Technic Porsche 911 RSR,13999RUB,8519RUB,https://www.detmir.ru/product/index/id/3150682/,Moscow
3176039,Конструктор LEGO Harry Potter Хижина Хагрида спасение Клювокрыла,5499RUB,3569RUB,https://www.detmir.ru/product/index/id/3176039/,Moscow
3226653,Конструктор LEGO City Police Полицейский участок,8999RUB,5329RUB,https://www.detmir.ru/product/index/id/3226653/,Moscow
3226597,Конструктор LEGO Friends Роскошный отдых на природе,2599RUB,1649RUB,https://www.detmir.ru/product/index/id/3226597/,Moscow
3597036,Конструктор LEGO Speed Champions Koenigsegg Jesko,1799RUB,,https://www.detmir.ru/product/index/id/3597036/,Moscow
3498472,Конструктор LEGO Disney Princess Райя и дракон Сису,2599RUB,1609RUB,https://www.detmir.ru/product/index/id/3498472/,Moscow
3244609,Конструктор LEGO MINDSTORMS EV3 Робот-изобретатель,31999RUB,19519RUB,https://www.detmir.ru/product/index/id/3244609/,Moscow
3596764,Конструктор LEGO Minecraft Конюшня,1799RUB,1139RUB,https://www.detmir.ru/product/index/id/3596764/,Moscow
3244508,Конструктор LEGO Friends Домик для панд на дереве,2599RUB,1579RUB,https://www.detmir.ru/product/index/id/3244508/,Moscow
3244599,Конструктор LEGO Harry Potter Астрономическая башня Хогвартса,9499RUB,6049RUB,https://www.detmir.ru/product/index/id/3244599/,Moscow
3142047,Конструктор LEGO Technic Chevrolet Corvette ZR1,3699RUB,2999RUB,https://www.detmir.ru/product/index/id/3142047/,Moscow
3405550,Конструктор LEGO Friends Дом семьи Андреа,6499RUB,4139RUB,https://www.detmir.ru/product/index/id/3405550/,Moscow
3405540,Конструктор LEGO Creator Космический робот для горных работ,2199RUB,1339RUB,https://www.detmir.ru/product/index/id/3405540/,Moscow
3176053,Конструктор LEGO Harry Potter Автобус Ночной рыцарь,3699RUB,2249RUB,https://www.detmir.ru/product/index/id/3176053/,Moscow
3142024,Конструктор LEGO DUPLO Town Пожарное депо,4499RUB,2869RUB,https://www.detmir.ru/product/index/id/3142024/,Moscow
3244547,Конструктор LEGO Minions Миньоны и дом,4699RUB,2989RUB,https://www.detmir.ru/product/index/id/3244547/,Moscow
3092801,Конструктор LEGO DUPLO Town Железнодорожный мост,2199RUB,1339RUB,https://www.detmir.ru/product/index/id/3092801/,Moscow
3156354,Конструктор LEGO Marvel Super Heroes Лаборатория Железного человека,5499RUB,3339RUB,https://www.detmir.ru/product/index/id/3156354/,Moscow
3405626,Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1,4499RUB,2839RUB,https://www.detmir.ru/product/index/id/3405626/,Moscow
3244536,Конструктор LEGO City Городской аэропорт,4499RUB,2799RUB,https://www.detmir.ru/product/index/id/3244536/,Moscow
